Poem Name,Poet,Line,Metaphor present or not,count of the metaphor,metaphorical terms,year,,,,
කුණ්ඩලකේසී,රුවන් බන්දුජීව,සුදු කෙළිනවා සත්තුක - මඩමෙ ලගිනවා සත්තුක,no,,,1870,,,,
කුණ්ඩලකේසී,රුවන් බන්දුජීව,මොනව කළත් මේ වෙනකම් ඉවසපු දේවී,no,,,1870,,,,
කුණ්ඩලකේසී,රුවන් බන්දුජීව,"""එපා තාත්තේ"" කිය කිය - දූ හීනෙන් හඬන හඬින්",no,,,1870,,,,
කුණ්ඩලකේසී,රුවන් බන්දුජීව,තිගැස්සිලා නිදි පැදුරෙන් විසිවුණු දේවී,no,,,1870,,,,
කුණ්ඩලකේසී,රුවන් බන්දුජීව,සත්තුක නිදි ඇඳ වටේට - තුන් වටයක් පැදකුණු කර,no,,,1870,,,,
කුණ්ඩලකේසී,රුවන් බන්දුජීව,මන්න පාර හතක් දීපු කුණ්ඩලකේසී,no,,,1870,,,,
මැණික් ගගටත් ඉවුරෙ චූ යයි.....,රුවන් බන්දුජීව,පියවුරු දෙසීයයි,yes,1,පියවුරු දෙසීයයි,1870,,,,
මැණික් ගගටත් ඉවුරෙ චූ යයි.....,රුවන් බන්දුජීව,දෙකෙන් බෙදුවම ගෑනු සීයයි,yes,1,දෙකෙන් බෙදුවම ගෑනු සීයයි,1870,,,,
මැණික් ගගටත් ඉවුරෙ චූ යයි.....,රුවන් බන්දුජීව,සාදය නන්දනීයයි,yes,1,සාදය නන්දනීයයි,1870,,,,
මැණික් ගගටත් ඉවුරෙ චූ යයි.....,රුවන් බන්දුජීව,මැණික් ගගටත් ඉවුරෙ චූ යයි,yes,1,මැණික් ගගටත් ඉවුරෙ චූ යයි,1870,,,,
මැණික් ගගටත් ඉවුරෙ චූ යයි.....,රුවන් බන්දුජීව,සියක් මණිමේඛලා - තන පටි - පබළු පොටවල් - තෝඩු ගලවා,no,,,1870,,,,
මැණික් ගගටත් ඉවුරෙ චූ යයි.....,රුවන් බන්දුජීව,පතිනි දේවිය ඇතුළෙ ඉද්දිම අඹය පෙත්තෙන් පෙත්ත කැපුවා,no,,,1870,,,,
මැණික් ගගටත් ඉවුරෙ චූ යයි.....,රුවන් බන්දුජීව,ප්‍රිති ඝෝෂා විසිල් සද්දෙට මනම්පේරිත් ඇවිත් බැලුවා ,no,,,1870,,,,
මැණික් ගගටත් ඉවුරෙ චූ යයි.....,රුවන් බන්දුජීව,කන්ද වැඩිහිටි වැහිල යන්නම මොනර බිත්තර සාරු ගැලුවා ,no,,,1870,,,,
මැණික් ගගටත් ඉවුරෙ චූ යයි.....,රුවන් බන්දුජීව,පුපුරු ගසනා ඇස් දෙසීයයි,no,,,1870,,,,
මැණික් ගගටත් ඉවුරෙ චූ යයි.....,රුවන් බන්දුජීව,දෙකෙන් බෙදුවම ගෑනු සීයයි,no,,,1870,,,,
මැණික් ගගටත් ඉවුරෙ චූ යයි.....,රුවන් බන්දුජීව,සාදය නන්දනීයයි,no,,,1870,,,,
මැණික් ගගටත් ඉවුරෙ චූ යයි.....,රුවන් බන්දුජීව,මැණික් ගගටත් ඉවුරෙ චූ යයි,no,,,1870,,,,
ගිරා සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,සො බ න නොයෙක් පහ මිණි බිතිනි මනහර,no,,,1447,,,,
ගිරා සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,පෙනෙන උදය දිවයුරු මඬල පැහැසර,no,,,1447,,,,
ගිරා සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,ර ඳ න මෙපුරවර කුල’ඟන මුව තඹර,yes,1,ර ඳ න මෙපුරවර කුල’ඟන මුව තඹර,1447,,,,
ගිරා සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,බ ල න වැන්න වැද වැද සිට මැඳුරතුර,no,,,1447,,,,
ගිරා සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,ක ලා සපිරි සසි වත මන කලා වන්,no,,,1447,,,,
ගිරා සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,නි ලා තිබෙන බැම ඉඳු දුනු පිලා වන්,no,,,1447,,,,
ගිරා සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,දු ලා තනන තන රන හස පිලා වන්,no,,,1447,,,,
ගිරා සංදේශය,තොටගමුවේ ශ්‍රී රාහුල හිමි,බ ලා පයැ’ද යනු බැරි පුර කලා වන්,no,,,1447,,,,
ගුත්තිල කාව්‍ය,වෑත්තෑවේ හිමි,යුදෙහි ඔහු කග ලිය,no,,,1942,,,,
ගුත්තිල කාව්‍ය,වෑත්තෑවේ හිමි,සමඟ රුපුන ද වෙව් ලිය,no,,,1942,,,,
ගුත්තිල කාව්‍ය,වෑත්තෑවේ හිමි,සමඟ ඔහු යස ලිය ද ලිය ලිය,no,,,1942,,,,
ගුත්තිල කාව්‍ය,වෑත්තෑවේ හිමි,ඔහු තෙද දිවසක ර,yes,1,ඔහු තෙද දිවසක ර,1942,,,,
ගුත්තිල කාව්‍ය,වෑත්තෑවේ හිමි,දිලිහෙත විකුම් ගිරිසි ර,yes,1,දිලිහෙත විකුම් ගිරිසි ර,1942,,,,
ගුත්තිල කාව්‍ය,වෑත්තෑවේ හිමි,පෙර සිටි රඟ නොහැ ර,no,,,1942,,,,
ගුත්තිල කාව්‍ය,වෑත්තෑවේ හිමි,සිටි ද පරරද යස තුසර ක ර,no,,,1942,,,,
ගුත්තිල කාව්‍ය,වෑත්තෑවේ හිමි,හිමි තම නැණ නැ වීන්,yes,1,හිමි තම නැණ නැ වීන්,1942,,,,
ගුත්තිල කාව්‍ය,වෑත්තෑවේ හිමි,සැදි ගී තරඟ බෙහෙ වීන්,yes,1,සැදි ගී තරඟ බෙහෙ වීන්,1942,,,,
ගුත්තිල කාව්‍ය,වෑත්තෑවේ හිමි,වෙණ සිප් මහණ වීන්,no,,,1942,,,,
ගුත්තිල කාව්‍ය,වෑත්තෑවේ හිමි,කෙළේ ඔහු පරතෙරට මැන වීන්,no,,,1942,,,,
ගුත්තිල කාව්‍ය,වෑත්තෑවේ හිමි,ඒ අතවැසි එම ස ඳ,no,,,1942,,,,
ගුත්තිල කාව්‍ය,වෑත්තෑවේ හිමි,නරනිඳු පදකමල වැ ඳ,yes,1,නරනිඳු පදකමල වැ ඳ,1942,,,,
ගුත්තිල කාව්‍ය,වෑත්තෑවේ හිමි,දොහොත් මුදුනේ බැ ඳ,no,,,1942,,,,
ගුත්තිල කාව්‍ය,වෑත්තෑවේ හිමි,කියයි මෙතෙපුල් සිට එ සබ මැ ඳ,no,,,1942,,,,
ගුත්තිල කාව්‍ය,වෑත්තෑවේ හිමි,නිරිඳු සඳ එබස ට,no,,,1942,,,,
ගුත්තිල කාව්‍ය,වෑත්තෑවේ හිමි,බෝසත්හු මුව තඹර ට,yes,1,බෝසත්හු මුව තඹර ට,1942,,,,
ගුත්තිල කාව්‍ය,වෑත්තෑවේ හිමි,සිය නෙත් බිඟු විහි ට,yes,1,සිය නෙත් බිඟු විහි ට,1942,,,,
ගුත්තිල කාව්‍ය,වෑත්තෑවේ හිමි,එසඳ පැවසී තෙපුල් මෙලෙස ට,yes,1,එසඳ පැවසී තෙපුල් මෙලෙස ට,1942,,,,
රන් තැටියක කඳුළු,දයාසේන ගුණසිංහ,මා පමණි ඔබ කැටුව ආවේ,no,,,1974,,,,
රන් තැටියක කඳුළු,දයාසේන ගුණසිංහ,මම ද යමි දියණියනි,no,,,1974,,,,
රන් තැටියක කඳුළු,දයාසේන ගුණසිංහ,මොහොතකින් සඳ ඒවි තනියට,no,,,1974,,,,
රන් තැටියක කඳුළු,දයාසේන ගුණසිංහ,රන් තැටිය පුරවා කඳුළින්,no,,,1974,,,,
රන් තැටියක කඳුළු,දයාසේන ගුණසිංහ,මෙතෙක් ලොව නොඇසුව,no,,,1974,,,,
රන් තැටියක කඳුළු,දයාසේන ගුණසිංහ,මියුරු නැළවිලි ගී,no,,,1974,,,,
රන් තැටියක කඳුළු,දයාසේන ගුණසිංහ,ළයට කැටි කොට නිඳයි ඔබේ මව,no,,,1974,,,,
රන් තැටියක කඳුළු,දයාසේන ගුණසිංහ,අවදි වන ඇසිපියෙන්,no,,,1974,,,,
රන් තැටියක කඳුළු,දයාසේන ගුණසිංහ,"බිඳී සුන් වන ලොවක,",no,,,1974,,,,
රන් තැටියක කඳුළු,දයාසේන ගුණසිංහ,බිහි නොවූ හෙට දවස,no,,,1974,,,,
රන් තැටියක කඳුළු,දයාසේන ගුණසිංහ,ඇය නොදත් රහස දැන,no,,,1974,,,,
රන් තැටියක කඳුළු,දයාසේන ගුණසිංහ,කාලයේ ගැබ තුළෙහි,yes,1,කාලයේ ගැබ තුළෙහි,1974,,,,
රන් තැටියක කඳුළු,දයාසේන ගුණසිංහ,"ඉකිබිඳියි කම්පා ව,",yes,1,"ඉකිබිඳියි කම්පා ව,",1974,,,,
රන් තැටියක කඳුළු,දයාසේන ගුණසිංහ,දස එකඩ මසක් ඈ රැකි,yes,1,දස එකඩ මසක් ඈ රැකි,1974,,,,
රන් තැටියක කඳුළු,දයාසේන ගුණසිංහ,"සෙනෙහසේ නිධානය,",yes,1,"සෙනෙහසේ නිධානය,",1974,,,,
රන් තැටියක කඳුළු,දයාසේන ගුණසිංහ,වෙස් මුණු තුළට වූ බහිරවයින්,no,,,1974,,,,
රන් තැටියක කඳුළු,දයාසේන ගුණසිංහ,නුහුරු බස් තෙපලමින්,no,,,1974,,,,
රන් තැටියක කඳුළු,දයාසේන ගුණසිංහ,වට වෙමින් අඩු නියෙත්,no,,,1974,,,,
රන් තැටියක කඳුළු,දයාසේන ගුණසිංහ,පැහැර සඟවන අතර.,no,,,1974,,,,
රන් තැටියක කඳුළු,දයාසේන ගුණසිංහ,බලා සිටියෙමි කොනක,no,,,1974,,,,
රන් තැටියක කඳුළු,දයාසේන ගුණසිංහ,"ගොළු වෙමින් අසරණ වූ,",no,,,1974,,,,
රන් තැටියක කඳුළු,දයාසේන ගුණසිංහ,සෙමෙන් තව තව සෙමෙන්,no,,,1974,,,,
රන් තැටියක කඳුළු,දයාසේන ගුණසිංහ,පස් පිඩැලි පෙරළන්න,no,,,1974,,,,
රන් තැටියක කඳුළු,දයාසේන ගුණසිංහ,මවගේ ඇකයෙහි පහස,no,,,1974,,,,
රන් තැටියක කඳුළු,දයාසේන ගුණසිංහ,නොදත් දැරියකි සිඟිති,no,,,1974,,,,
රන් තැටියක කඳුළු,දයාසේන ගුණසිංහ,කිරි ගරුඬ කොත් හෙළන,no,,,1974,,,,
රන් තැටියක කඳුළු,දයාසේන ගුණසිංහ,අඳුරු සෙවණැලි අතර,no,,,1974,,,,
රන් තැටියක කඳුළු,දයාසේන ගුණසිංහ,නුහුරු නුපුරුදු ලොවක,no,,,1974,,,,
රන් තැටියක කඳුළු,දයාසේන ගුණසිංහ,සැතපෙන්න දියණියනි.,no,,,1974,,,,
රන් තැටියක කඳුළු,දයාසේන ගුණසිංහ,මොහොතකින් සඳ ඒවි තනියට,no,,,1974,,,,
රන් තැටියක කඳුළු,දයාසේන ගුණසිංහ,රන් තැටිය පුරවා කඳුලින්,no,,,1974,,,,
නාගල කන්ද,විමල් දිසානායක,බලන විට අවට ලොව ඇර මතකයෙහි දෙස ,yes,1,බලන විට අවට ලොව ඇර මතකයෙහි දෙස ,1974,,,,
නාගල කන්ද,විමල් දිසානායක,කොළ හාළී ඇට සැකිලි ගස් පෙනේ එක දිගට ,yes,1,කොළ හාළී ඇට සැකිලි ගස් පෙනේ එක දිගට ,1974,,,,
නාගල කන්ද,විමල් දිසානායක,කාලයේ දේශයේ රැහැන් බිඳී මවෙත එන,yes,1,කාලයේ දේශයේ රැහැන් බිඳී මවෙත එන,1974,,,,
සතුට,ලාල් හෑගොඩ,අමතක අඳුරු වලා බිඳිමින්,yes,1,අමතක අඳුරු වලා බිඳිමින්,1974,,,,
සතුට,ලාල් හෑගොඩ,හිරිමල් මිනා පා ,yes,1,හිරිමල් මිනා පා ,1974,,,,
ලක් මවුනි මගේ,ඇස්. මහින්ද හිමි,සි ත ක න් සිතනු බැරි තරමට තිබෙන අගේ,no,,,1974,,,,
ලක් මවුනි මගේ,ඇස්. මහින්ද හිමි,සැ ප ති න් වැඩෙන පෙම්බර ලක්  මවුනි මගේ,yes,1,සැ ප ති න් වැඩෙන පෙම්බර ලක්  මවුනි මගේ,1974,,,,
ලක් මවුනි මගේ,ඇස්. මහින්ද හිමි,ස තු වී තිබෙන කොට ඔබගේ සෙනේ දම,yes,1,ස තු වී තිබෙන කොට ඔබගේ සෙනේ දම,1974,,,,
ලක් මවුනි මගේ,ඇස්. මහින්ද හිමි,නි ව නේ මිහිර රැඳී බුදු දම් අමා කිරි,yes,1,නි ව නේ මිහිර රැඳී බුදු දම් අමා කිරි,1974,,,,
ලක් මවුනි මගේ,ඇස්. මහින්ද හිමි,ලු දු වා වඩා සමනොළ මල් යහන් කුස,yes,1,ලු දු වා වඩා සමනොළ මල් යහන් කුස,1974,,,,
පරෙවිය,අරිසෙන් අහුබුදු,සිසිර කුමරි පස්සට ලන්නී,yes,1,සිසිර කුමරි පස්සට ලන්නී,1974,,,,
පරෙවිය,අරිසෙන් අහුබුදු,ගිම් කුමරිට පෙරටු වැ එන්නී,yes,1,ගිම් කුමරිට පෙරටු වැ එන්නී,1974,,,,
පරෙවිය,අරිසෙන් අහුබුදු,දිනිසුරු කුමරුට අත දෙන්නී,yes,1,දිනිසුරු කුමරුට අත දෙන්නී,1974,,,,
පරෙවිය,අරිසෙන් අහුබුදු,ලොවැටමැ මගුලක් සලසන්නී,yes,1,ලොවැටමැ මගුලක් සලසන්නී,1974,,,,
දේදුන්න පායාවි හෙටත් පාලම උඩින්,පරාක්‍රම කොඩිතුවක්කු,ඔබ යන්න මහද ඉතත් වැනි වලාකුළ අරන්,yes,1,ඔබ යන්න මහද ඉතත් වැනි වලාකුළ අරන්,1974,,,,
දේදුන්න පායාවි හෙටත් පාලම උඩින්,පරාක්‍රම කොඩිතුවක්කු,ආදරය නින්දක් ද- පිබිදිලා සිටින මට,yes,1,ආදරය නින්දක් ද- පිබිදිලා සිටින මට,1974,,,,
සමනලයා,ආනන්ද රාජකරුණා,නුඹ ආ ගමන සීපද ගායනා වෙක,yes,1,නුඹ ආ ගමන සීපද ගායනා වෙක,1974,,,,
සමනලයා,ආනන්ද රාජකරුණා,සුවිසල් අරුණු දද පෙරඹර දිලෙද්දී,yes,1,සුවිසල් අරුණු දද පෙරඹර දිලෙද්දී,1974,,,,
සමනලයා,ආනන්ද රාජකරුණා,තම තුනු කැලුම් සිලිලෙන් නැහැවෙවී වරෙන්,yes,1,තම තුනු කැලුම් සිලිලෙන් නැහැවෙවී වරෙන්,1974,,,,
සමනලයා,ආනන්ද රාජකරුණා,සමනොල පුස්පරාගය මා ළඟට වරෙන්,yes,1,සමනොල පුස්පරාගය මා ළඟට වරෙන්,1974,,,,
ඉගිළෙන සිහින,සාගර පලන්සූරිය,උන්ගේ ආලයේ වෙසනත් ගජමුතුව,yes,1,උන්ගේ ආලයේ වෙසනත් ගජමුතුව,1974,,,,
දිවා භෝජනය,සිරි ගුනසිංහ,අට වයස් නොදරුවා,no,,,1956,,,,
දිවා භෝජනය,සිරි ගුනසිංහ,හැට පිරුනු කල සමින්,no,,,1956,,,,
දිවා භෝජනය,සිරි ගුනසිංහ,වැසුනු ඇට සැකිල්ලකි,no,,,1956,,,,
දිවා භෝජනය,සිරි ගුනසිංහ,එහෙත් ඔහු සිනාසෙයි,no,,,1956,,,,
දිවා භෝජනය,සිරි ගුනසිංහ,දත් පුරා සිනාසෙයි,no,,,1956,,,,
දිවා භෝජනය,සිරි ගුනසිංහ,කට පුරා සිනාසෙයි.,no,,,1956,,,,
දිවා භෝජනය,සිරි ගුනසිංහ,ඇට පෙනෙන මුහුන මත,no,,,1956,,,,
දිවා භෝජනය,සිරි ගුනසිංහ,දෙකන තෙක් දික් ගැහුනු,yes,1,දෙකන තෙක් දික් ගැහුනු,1956,,,,
දිවා භෝජනය,සිරි ගුනසිංහ,සිනාවෙන් ඔහු මුහුන,yes,1,සිනාවෙන් ඔහු මුහුන,1956,,,,
දිවා භෝජනය,සිරි ගුනසිංහ,පුරුදු නැති සිත්තරකු,yes,1,පුරුදු නැති සිත්තරකු,1956,,,,
දිවා භෝජනය,සිරි ගුනසිංහ,නොචි කෝලමට කැපු,yes,1,නොචි කෝලමට කැපු,1956,,,,
දිවා භෝජනය,සිරි ගුනසිංහ,සරිය වෙස් මුහුනකට,yes,1,සරිය වෙස් මුහුනකට,1956,,,,
දිවා භෝජනය,සිරි ගුනසිංහ,වමතෙ පොල් කටුවෙ සිට,no,,,1956,,,,
දිවා භෝජනය,සිරි ගුනසිංහ,කට ලඟට ගොස් වැටෙන,no,,,1956,,,,
දිවා භෝජනය,සිරි ගුනසිංහ,ලී කැබැල්ලකි සුරත,yes,1,ලී කැබැල්ලකි සුරත,1956,,,,
දිවා භෝජනය,සිරි ගුනසිංහ,බට්ටෙක් මෙන් ඔරලෝසුවේ,no,,,1956,,,,
දිවා භෝජනය,සිරි ගුනසිංහ,ගනන් බලා තුන් විඩයක්,no,,,1956,,,,
දිවා භෝජනය,සිරි ගුනසිංහ,උඩහට පහලට ගිය අත,no,,,1956,,,,
දිවා භෝජනය,සිරි ගුනසිංහ,හිස් පොල් කටුවේ,no,,,1956,,,,
දිවා භෝජනය,සිරි ගුනසිංහ,එකවර නැවතින,no,,,1956,,,,
දිවා භෝජනය,සිරි ගුනසිංහ,පුදුමයෙන් මෙන් බලා මා දෙස,no,,,1956,,,,
දිවා භෝජනය,සිරි ගුනසිංහ,දෙකන තෙක් දි සිනා පාලා,no,,,1956,,,,
දිවා භෝජනය,සිරි ගුනසිංහ,විසි කොට පොල් කටුව කානුවෙ,no,,,1956,,,,
දිවා භෝජනය,සිරි ගුනසිංහ,පිස දමයි අත ඉරුනු සරමේ,no,,,1956,,,,
අභිනික්මන,සිරි ගුනසිංහ,මගේ පැදුරෙන් මිදී කෙල්ලට,no,,,1876,,,,
අභිනික්මන,සිරි ගුනසිංහ,වාසලට යන්නට වුනා,no,,,1876,,,,
අභිනික්මන,සිරි ගුනසිංහ,අනේ ඒකිගේ කැකුළු ඇග-කද,no,,,1876,,,,
අභිනික්මන,සිරි ගුනසිංහ,හැම වෙලාවෙම සිහි වුනා,no,,,1876,,,,
අභිනික්මන,සිරි ගුනසිංහ,මාලිගාවෙන් අපේ ගෙපැලට,no,,,1876,,,,
අභිනික්මන,සිරි ගුනසිංහ,තෑගි-බෝගත් හිමි වුනා.,no,,,1876,,,,
අභිනික්මන,සිරි ගුනසිංහ,සිහිල් ජල කෙළි - දුහුල් සළු පිළි,no,,,1876,,,,
අභිනික්මන,සිරි ගුනසිංහ,දුවට හිමි බව සැල වුනා.,no,,,1876,,,,
අභිනික්මන,සිරි ගුනසිංහ,මහා සීගිරි ගලේ මුදුනක,no,,,1876,,,,
අභිනික්මන,සිරි ගුනසිංහ,උඹේ රුව සිත්තම් වුනා.,no,,,1876,,,,
අභිනික්මන,සිරි ගුනසිංහ,එය බලන්නම හොරෙන් හවසක,no,,,1876,,,,
අභිනික්මන,සිරි ගුනසිංහ,මාත් එතනට ගොඩ වුනා.,no,,,1876,,,,
අභිනික්මන,සිරි ගුනසිංහ,කරඩුවක් වගේ උඹේ උඩු කය,no,,,1876,,,,
අභිනික්මන,සිරි ගුනසිංහ,අනෙක් උන් මැද දිළිසුනා.,no,,,1876,,,,
